Arabic Sentence,English Translation
يجب أن يضع الرئيس استراتيجية الخروج من العراق بحسب رأي الصحيفة,"The president should put in place an exit strategy for Iraq, according to the newspaper."
اشاد الرفاعي بالجهود الدؤوبة التي يبذلها جلالة الملك دفاعا عن قضايا الامة العربية العادلة وفي طليعتها الفلسطينية القضية,"Commend the Rafei for the tireless efforts of His Majesty the King to defend the just causes of the Arab nation, and in its Palestinian vanguard, the cause of the Palestinian nation."
الاعمال الارهابية الاجرامية لا تمثل القيم الاردنية فالاردن يقف أبناؤه متراصين صفا واحدا خلف;القيادة;الهاشمية,Criminal terrorist acts do not represent Jordanian values.
لعب اشبيلية بتسعة لاعبين بعد طرد نافارو وماريسكا,Seville played nine players after the expulsion of Navarro and Mariska.
كان لهذه الدار ثلاثة أبواب تؤدي إلى شوارع وأسواق مختلفة,This house had three doors leading to different streets and markets.
احتفظت بتقدير ممتاز فى كل المواد التى درستها,I've kept an excellent estimate of all the subjects I've studied.
بعد مرور عام على انتخابه لا تزال شعبية أحمدي نجاد في صعود مستمر,"One year after his election, Ahmadinejad's popularity is still on the rise."
الرياضة أصبحت هي اللغة التي تربط العالم,Sports have become the language that binds the world.
وقد وقع اختياري على أخيكم أدهم ليدير الوقف تحت إشرافي,I've chosen your brother to run the stand under my supervision.
لقد بلغت السادسة والثلاثين ولم تعش قط كما أرادت,She was 36 and never lived as she wanted.
لما كبر وتخرج من الجامعة كان يحلم بأن يحصل على عمل ويتزوج وتأتيه بنت صغيرة,"When he grew up and graduated from college, he dreamed of getting a job, getting married, getting a little girl."
السفينة كانت بعيدة عن تلك المنطقة بما لا يقل عن ١٠;أميال بحرية,The ship was at least 10 miles away from that area.
ما الفيتامينات الموجودة في البصل؟;,What vitamins are in the onions?
اكتشف والداها أعراض المرض نتيجة زرقة جلدها;وصعوبة تنفسها,Her parents discovered the symptoms of the disease from her skin blues and her breathing difficulties.
مدينة القدس تعتبر من أهم المدن في العالم بحكم الاهمية العقائدية للديانات السماوية الثلاث,"The city of Jerusalem is one of the most important cities in the world, given the ideological importance of the three divine religions."
هل يعتبر أن لهذه الحكومة إنجازات أم كل ما فعلته هذه الحكومة حتى اليوم هي إخفاقات متتالية؟,Does this government have achievements or does all that this government has done to date have been successive failures?
هذا القانون يطلب من كل مواطن أن يتجسس على;المواطن;الآخر,This law requires every citizen to spy on the citizen; the other.
لم أرك منذ زمن بعيد، فأين كنت؟,I haven't seen you in a long time. Where have you been?
أبوها لم يستقر في البلد سوى من سنوات قليلة، ولذلك فإن اسمه غير معروف للكثيرين من أهل الرياض,"Her father settled in the country only a few years ago, so his name is unknown to many of the people of Riyadh."
في أول أيام الأسبوع التالي، سألت سديم طاهر عن صديقه;فراس;,"The first day of the following week, I asked Nehma Tahir about his friend Fras;"
تعرض فندق يقيم فيه مسئولون من الحكومة الانتقالية إلى إطلاق نار دون وقوع إصابات,A hotel with Transitional Government officials was shot and not injured
فى البداية لم أكن متحمسا لفكرة البيان، لكننى بعد ذلك وجدتها ممتازة,"At first I wasn't excited about the idea of a statement, but then I found it perfect."
طبيعة المكان كانت لا تترك لروميل فرصة المناورة,The nature of the place didn't give Rommel the chance to maneuver.
التصق القميص بجسده لدرجة كادت تؤلمه,The shirt stuck to his body to the point where it almost hurts.
تمت مناقشة القضية في اجتماعات المجلس الاعلى لاتحاد الصيادلة العرب التي عقدت في عمان,The issue was discussed at the meetings of the Higher Council of the Arab Pharmacist Union held in Amman
هز الطبيب رأسه واستدار متوجها ببطء نحو المقعد القريب,The doctor shook his head and turned slowly towards the next seat.
شعره مثير للجدل في الاوساط الثقافية خصوصا بعد نشره مجموعتين من الشعر الحداثي,"His hair is controversial in cultural media, especially after his publication of two sets of modern poetry."
صباح الخير، أنا أتصل بخصوص الوظيفة التى أعلنتم عنها,Good morning. I'm calling about the job you announced.
لا نحتاج إلى مثل هذه العمليات لو كانوا هم يريدون;مصلحة;العراق,We don't need such operations if they want to be in Iraq's best interests.
ما هي أهم العناوين التي استقطبت اهتمامك من الصحف;الأميركية؟;,What are the most important addresses that have attracted your attention from the American newspapers?
